Genus_species,mycorrhizal state
Cynosurus_echinatus,AMNM
Cyperus_alternifolius,NM
Cyperus_compressus,AM
Cyperus_cuspidatus,NM
Cyperus_difformis,AM
Cyperus_esculentus,NM
Cyperus_fuscus,NM
Cyperus_iria,AM
Cyperus_laevigatus,AM
Cyperus_pygmaeus,AM
Cyperus_rotundus,AMNM
Cyperus_squarrosus,AMNM
Cyrtocarpa_edulis,AM
Cytisus_scoparius,AM
Dacrycarpus_dacrydioides,AM
Dactylis_glomerata,AMNM
Dalbergia_sissoo,AM
Dalea_candida,AM
Dalea_purpurea,AM
Danthonia_alpina,AM
Danthonia_decumbens,AM
Daphne_gnidium,AM
Daphne_laureola,AM
Daphne_mezereum,AMNM
Datura_metel,AM
Datura_stramonium,AM
Daucus_carota,AMNM
Daviesia_corymbosa,AM
Declieuxia_fruticosa,AM
Dendrocalamus_asper,AM
Dendrocalamus_strictus,AMNM
Dendropanax_cuneatus,AM
Deschampsia_antarctica,AMNM
Deschampsia_cespitosa,AMNM
Deschampsia_chapmanii,AM
Descurainia_sophia,NM
Desmanthus_illinoensis,AM
Desmodium_heterocarpon,AM
Desmodium_microphyllum,AM
Detarium_macrocarpum,AM
Deutzia_discolor,AMNM
Dialium_guineense,AM
Dianella_ensifolia,AM
Dianthus_barbatus,NM
Dianthus_carthusianorum,AMNM
Dianthus_caryophyllus,NM
Dianthus_chinensis,NM
Dianthus_cretaceus,NM
Dianthus_deltoides,NM
Dianthus_gratianopolitanus,NM
Dianthus_plumarius,NM
Dianthus_superbus,NM
Dicorynia_guianensis,AM
Dictamnus_albus,AM
Dicymbe_altsonii,EM
Dicymbe_corymbosa,EM
Didelotia_africana,EM
Digitalis_grandiflora,AM
Digitalis_purpurea,AMNM
Digitaria_ciliaris,AM
Digitaria_sanguinalis,AM
Dioon_edule,AM
Dioscorea_communis,AM
Diospyros_dichroa,AM
Diospyros_guianensis,AM
Diospyros_kaki,AM
Diphysa_americana,AM
Diplotaxis_erucoides,AMNM
Diplotaxis_muralis,AMNM
Dipsacus_fullonum,AMNM
Dipsacus_strigosus,AM
Dipterocarpus_palembanicus,EM
Discaria_articulata,AM
Discaria_chacaye,AM
Distemonanthus_benthamianus,AM
Distichlis_spicata,AM
Dittrichia_viscosa,AM
Dodonaea_viscosa,AM
Doronicum_macrophyllum,AM
Dorycnium_hirsutum,NM
Dorycnium_pentaphyllum,AM
Downingia_elegans,AM
Draba_fladnizensis,NM
Draba_glabella,NM
Draba_nemorosa,NM
Draba_siliquosa,NM
Draba_verna,NM
Dracaena_draco,AM
Dracocephalum_nutans,AM
Dracocephalum_ruyschiana,AM
Drosera_anglica,NM
Drosera_intermedia,AMNM
Drosera_rotundifolia,AMNM
Dryas_octopetala,EM
Dryobalanops_lanceolata,EM
Dubautia_plantaginea,AM
Duchesnea_chrysantha,AM
Duchesnea_indica,AM
