family,order,group
Drosophyllaceae,Caryophyllales,superasterids
Frankeniaceae,Caryophyllales,superasterids
Gisekiaceae,Caryophyllales,superasterids
Halophytaceae,Caryophyllales,superasterids
Kewaceae,Caryophyllales,superasterids
Limeaceae,Caryophyllales,superasterids
Lophiocarpaceae,Caryophyllales,superasterids
Macarthuriaceae,Caryophyllales,superasterids
Microteaceae,Caryophyllales,superasterids
Molluginaceae,Caryophyllales,superasterids
Montiaceae,Caryophyllales,superasterids
Nepenthaceae,Caryophyllales,superasterids
Nyctaginaceae,Caryophyllales,superasterids
Physenaceae,Caryophyllales,superasterids
Phytolaccaceae,Caryophyllales,superasterids
Plumbaginaceae,Caryophyllales,superasterids
Polygonaceae,Caryophyllales,superasterids
Portulacaceae,Caryophyllales,superasterids
Rhabdodendraceae,Caryophyllales,superasterids
Rivinaceae,Caryophyllales,superasterids
Sarcobataceae,Caryophyllales,superasterids
Simmondsiaceae,Caryophyllales,superasterids
Stegnospermataceae,Caryophyllales,superasterids
Talinaceae,Caryophyllales,superasterids
Tamaricaceae,Caryophyllales,superasterids
Cornaceae,Cornales,asterids
Curtisiaceae,Cornales,asterids
Grubbiaceae,Cornales,asterids
Hydrangeaceae,Cornales,asterids
Hydrostachyaceae,Cornales,asterids
Loasaceae,Cornales,asterids
Nyssaceae,Cornales,asterids
Actinidiaceae,Ericales,asterids
Balsaminaceae,Ericales,asterids
Clethraceae,Ericales,asterids
Cyrillaceae,Ericales,asterids
Diapensiaceae,Ericales,asterids
Ebenaceae,Ericales,asterids
Ericaceae,Ericales,asterids
Fouquieriaceae,Ericales,asterids
Lecythidaceae,Ericales,asterids
Marcgraviaceae,Ericales,asterids
Mitrastemonaceae,Ericales,asterids
Pentaphylacaceae,Ericales,asterids
Polemoniaceae,Ericales,asterids
Primulaceae,Ericales,asterids
Roridulaceae,Ericales,asterids
Sapotaceae,Ericales,asterids
Sarraceniaceae,Ericales,asterids
Sladeniaceae,Ericales,asterids
Styracaceae,Ericales,asterids
Symplocaceae,Ericales,asterids
Tetrameristaceae,Ericales,asterids
Theaceae,Ericales,asterids
Icacinaceae,Icacinales,lamiids
Oncothecaceae,Icacinales,lamiids
Metteniusaceae,Metteniusales,lamiids
Eucommiaceae,Garryales,lamiids
Garryaceae,Garryales,lamiids
Apocynaceae,Gentianales,lamiids
Gelsemiaceae,Gentianales,lamiids
Pteleocarpaceae,,
Gentianaceae,Gentianales,lamiids
Loganiaceae,Gentianales,lamiids
Rubiaceae,Gentianales,lamiids
Boraginaceae,Boraginales,lamiids
Codonaceae,,
Vahliaceae,Vahliales,lamiids
Convolvulaceae,Solanales,lamiids
Hydroleaceae,Solanales,lamiids
Montiniaceae,Solanales,lamiids
Solanaceae,Solanales,lamiids
Sphenocleaceae,Solanales,lamiids
Acanthaceae,Lamiales,lamiids
Bignoniaceae,Lamiales,lamiids
Byblidaceae,Lamiales,lamiids
Calceolariaceae,Lamiales,lamiids
Carlemanniaceae,Lamiales,lamiids
Gesneriaceae,Lamiales,lamiids
Lamiaceae,Lamiales,lamiids
Labiatae,,
Lentibulariaceae,Lamiales,lamiids
Linderniaceae,Lamiales,lamiids
Martyniaceae,Lamiales,lamiids
Mazaceae,Lamiales,lamiids
Oleaceae,Lamiales,lamiids
Orobanchaceae,Lamiales,lamiids
Lindenbergiaceae,,
Paulowniaceae,Lamiales,lamiids
Pedaliaceae,Lamiales,lamiids
Phrymaceae,Lamiales,lamiids
Plantaginaceae,Lamiales,lamiids
Plocospermataceae,Lamiales,lamiids
Schlegeliaceae,Lamiales,lamiids
Scrophulariaceae,Lamiales,lamiids
Stilbaceae,Lamiales,lamiids
Tetrachondraceae,Lamiales,lamiids
Thomandersiaceae,Lamiales,lamiids
Verbenaceae,Lamiales,lamiids
Aquifoliaceae,Aquifoliales,campanulids
Cardiopteridaceae,Aquifoliales,campanulids
Helwingiaceae,Aquifoliales,campanulids
Phyllonomaceae,Aquifoliales,campanulids
Stemonuraceae,Aquifoliales,campanulids
Alseuosmiaceae,Asterales,campanulids
Argophyllaceae,Asterales,campanulids
Asteraceae,Asterales,campanulids
Compositae,Asterales,campanulids
Calyceraceae,Asterales,campanulids
Campanulaceae,Asterales,campanulids
Goodeniaceae,Asterales,campanulids
Menyanthaceae,Asterales,campanulids
Pentaphragmataceae,Asterales,campanulids
Phellinaceae,Asterales,campanulids
Rousseaceae,Asterales,campanulids
Stylidiaceae,Asterales,campanulids
Escalloniaceae,Escalloniales,campanulids
Bruniaceae,Bruniales,campanulids
Columelliaceae,Bruniales,campanulids
Paracryphiaceae,Paracryphiales,campanulids
Adoxaceae,Dipsacales,campanulids
Caprifoliaceae,Dipsacales,campanulids
Apiaceae,Apiales,campanulids
Umbelliferae,,
Araliaceae,Apiales,campanulids
Griseliniaceae,Apiales,campanulids
Myodocarpaceae,Apiales,campanulids
Pennantiaceae,Apiales,campanulids
Pittosporaceae,Apiales,campanulids
Torricelliaceae,Apiales,campanulids
