binominal,root_order,RD,SRL,references,genus,species,family,order
Equisetum hyemale,1.0,-0.7367031130518447,4.454200748655468,"<ArrowStringArray>
['Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.']
Length: 1, dtype: str",Equisetum,hyemale,Equisetaceae,Equisetales
Equisetum pratense,1.0,-1.413391453656634,5.540388917685265,"<ArrowStringArray>
['Dong X, Wang H, Gu J, Wang Y, Wang Z. 2014. Root morphology, histology and chemistry of nine fern species (pteridophyta) in a temperate forest. Plant Soil 393: 215-227.']
Length: 1, dtype: str",Equisetum,pratense,Equisetaceae,Equisetales
Eriobotrya japonica,1.0,-1.1430658694224145,3.8318969609488613,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Eriobotrya,japonica,Rosaceae,Rosales
Eucalyptus urophylla,1.0,-1.93489108257288,4.6654182663334485,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Eucalyptus,urophylla,Myrtaceae,Myrtales
Euonymus alatus,1.0,-1.4928307530344898,4.674651038255275,"<ArrowStringArray>
[                                                                'Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.',
                                                                                 'Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.',
 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 3, dtype: str",Euonymus,alatus,Celastraceae,Celastrales
Euonymus verrucosus,1.0,-1.455286072607515,5.222932387752917,"<ArrowStringArray>
['Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 2, dtype: str",Euonymus,verrucosus,Celastraceae,Celastrales
Euptelea pleiosperma,1.0,-1.1412850573146909,4.099012521328839,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Euptelea,pleiosperma,Eupteleaceae,Ranunculales
Eurya japonica,1.0,-1.739216953941945,4.842998700292426,"<ArrowStringArray>
['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']
Length: 1, dtype: str",Eurya,japonica,Pentaphylacaceae,Ericales
Fagus engleriana,1.0,-1.6918688864132598,4.5383184974605015,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Fagus,engleriana,Fagaceae,Fagales
Ficus variolosa,1.0,-2.0180078354957436,4.965986542427374,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Ficus,variolosa,Moraceae,Rosales
Filipendula palmata,1.0,-1.6982691261407161,5.396386363677473,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Filipendula,palmata,Rosaceae,Rosales
Fraxinus americana,1.0,-1.4840603659955758,3.6618163611850068,"<ArrowStringArray>
[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Valverde et al (unpublished)']
Length: 2, dtype: str",Fraxinus,americana,Oleaceae,Lamiales
Fraxinus chinensis,1.0,-1.000980131286906,3.7757211092432925,"<ArrowStringArray>
['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 2, dtype: str",Fraxinus,chinensis,Oleaceae,Lamiales
Fraxinus excelsior,1.0,-0.9843478065341427,3.491128883489728,"<ArrowStringArray>
['Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.']
Length: 1, dtype: str",Fraxinus,excelsior,Oleaceae,Lamiales
Fraxinus mandshurica,1.0,-1.291650484943504,4.640616940124867,"<ArrowStringArray>
[                                                                                                'Wang Z, Guo D, Wang X, Gu J, Mei L. 2006. Fine root architecture, morphology, and biomass of different branch orders of two Chinese temperate tree species. Plant Soil 288:155-171.',
                                                                 'Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.',
           'Jia SX, Zhao YL, Ding GQ, Sun Y, Xu Y, Wang ZQ. 2010. Relationship among fine-root morphology, anatomy, tissue nitrogen concentration and respiration in different branch root orders in Larix gmelinii and Fraxinus mandshurica. Chinese Bulletin of Botany 45: 174-181.',
                                                                       'Wang Y, Dong X, Wang H, Wang Z, Gu J. 2016. Root tip morphology, anatomy, chemistry and potential hydraulic conductivity vary with soil depth in three temperate hardwood species. Tree Physiology 36:99-108.',
                                                                                                     'Wang W, Wang Y, Hoch G, Wang Z, Gu J. 2018. Linkage of root morphology to anatomy with increasing nitrogen availability in six temperate tree species. Plant Soil 425: 198-200.',
 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.',
                                                                           'Wang Y, Gao G, Wang N, Wang Z, Gu J. 2019. Effects of morphology and stand structure on root biomass and length differed between absorptive and transport roots in temperate trees. Plant Soil, in press.']
Length: 7, dtype: str",Fraxinus,mandshurica,Oleaceae,Lamiales
Galium aparine,1.0,-1.6654793033177253,5.483130261962464,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Galium,aparine,Rubiaceae,Gentianales
Garcinia cowa,1.0,-1.2279581670764472,4.46900676117522,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Garcinia,cowa,Clusiaceae,Malpighiales
Garcinia oblongifolia,1.0,-1.6597317064885675,4.5094299137072555,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Garcinia,oblongifolia,Clusiaceae,Malpighiales
Ginkgo biloba,1.0,-0.390084006069862,2.9920254116226643,"<ArrowStringArray>
['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']
Length: 1, dtype: str",Ginkgo,biloba,Ginkgoaceae,Ginkgoales
Gironniera subaequalis,1.0,-2.080241861850605,4.213312081286144,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Gironniera,subaequalis,Cannabaceae,Rosales
Gleditsia triacanthos,1.0,-0.9694534699515954,3.0039883357858987,"<ArrowStringArray>
[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Valverde et al (unpublished)']
Length: 2, dtype: str",Gleditsia,triacanthos,Fabaceae,Fabales
Goniothalamus griffithii,1.0,-0.48672807274248575,2.8085239973722764,"<ArrowStringArray>
['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']
Length: 1, dtype: str",Goniothalamus,griffithii,Annonaceae,Magnoliales
Gordonia axillaris,1.0,-0.6129321800373665,2.7930039069823738,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'Kong DL, Wang JJ, Kardol P, Wu HF, Zeng H, Deng XB, Deng Y. 2016. Economic strategies of plant absorptive roots vary with root diameter. Biogeosciences 13: 415-424.']
Length: 2, dtype: str",Gordonia,axillaris,Theaceae,Ericales
Halesia tetraptera,1.0,-1.4942022073600143,3.9224840718732885,"<ArrowStringArray>
[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Valverde et al (unpublished)']
Length: 2, dtype: str",Halesia,tetraptera,Styracaceae,Ericales
Hamamelis virginiana,1.0,-1.327613047480723,3.1902668572109327,"<ArrowStringArray>
[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Valverde et al (unpublished)']
Length: 2, dtype: str",Hamamelis,virginiana,Hamamelidaceae,Saxifragales
Helicia formosana,1.0,-1.691407475301351,4.5830268213024015,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Helicia,formosana,Proteaceae,Proteales
Hosta ventricosa,1.0,-0.8988192509621502,4.101969221654853,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Hosta,ventricosa,Asparagaceae,Asparagales
Ilex opaca,1.0,-1.5076300700532768,3.7947634753438058,"<ArrowStringArray>
[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Valverde et al (unpublished)']
Length: 2, dtype: str",Ilex,opaca,Aquifoliaceae,Aquifoliales
Iris japonica,1.0,-0.8584936331479384,4.227644446633998,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Iris,japonica,Iridaceae,Asparagales
Itea chinensis,1.0,-2.126449295287177,4.703475874772215,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Itea,chinensis,Iteaceae,Saxifragales
Juglans mandshurica,1.0,-1.3541877262568558,4.692767599845721,"<ArrowStringArray>
[                                                                'Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.',
                                                                       'Wang Y, Dong X, Wang H, Wang Z, Gu J. 2016. Root tip morphology, anatomy, chemistry and potential hydraulic conductivity vary with soil depth in three temperate hardwood species. Tree Physiology 36:99-108.',
                                                                                                     'Wang W, Wang Y, Hoch G, Wang Z, Gu J. 2018. Linkage of root morphology to anatomy with increasing nitrogen availability in six temperate tree species. Plant Soil 425: 198-200.',
                                                                            'Salahuddin, Rewald B, Razaq M, Lixue Y, Li J, Khan F, Jie Z. 2018. Root order-based traits of Manchurian walnut & larch and their plasticity under interspecific competition. Scientific Reports 8: 9815',
 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.',
                                                                           'Wang Y, Gao G, Wang N, Wang Z, Gu J. 2019. Effects of morphology and stand structure on root biomass and length differed between absorptive and transport roots in temperate trees. Plant Soil, in press.']
Length: 6, dtype: str",Juglans,mandshurica,Juglandaceae,Fagales
Juglans nigra,1.0,-1.3238942246980918,3.203079613447119,"<ArrowStringArray>
[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.',
                                                'McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831.',
                                                                                                                                                                                           'Valverde et al (unpublished)']
Length: 3, dtype: str",Juglans,nigra,Juglandaceae,Fagales
Juniperus monosperma,1.0,-0.916290731874155,3.044522437723423,"<ArrowStringArray>
['Pregitzer KS, DeForest JL, Burton AJ, Allen MF, Ruess RW, Hendrick RL. 2002. Fine root architecture of nine North American trees. Ecological Monographs 72: 293-309.']
Length: 1, dtype: str",Juniperus,monosperma,Cupressaceae,Pinales
Juniperus sabina,1.0,-0.9167908569158374,3.6432834618664827,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Juniperus,sabina,Cupressaceae,Pinales
Knema erratica,1.0,-0.1646799239417102,1.563217773907763,"<ArrowStringArray>
['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']
Length: 1, dtype: str",Knema,erratica,Myristicaceae,Magnoliales
Koelreuteria paniculata,1.0,-1.3987718016265513,4.5802430498867315,"<ArrowStringArray>
[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Valverde et al (unpublished)']
Length: 2, dtype: str",Koelreuteria,paniculata,Sapindaceae,Sapindales
Lamium album,1.0,-1.9995219185039625,5.792156286415493,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Lamium,album,Lamiaceae,Lamiales
Larix gmelinii,1.0,-1.0788368689315948,3.619499135719005,"<ArrowStringArray>
[                                                                                                'Wang Z, Guo D, Wang X, Gu J, Mei L. 2006. Fine root architecture, morphology, and biomass of different branch orders of two Chinese temperate tree species. Plant Soil 288:155-171.',
           'Jia SX, Zhao YL, Ding GQ, Sun Y, Xu Y, Wang ZQ. 2010. Relationship among fine-root morphology, anatomy, tissue nitrogen concentration and respiration in different branch root orders in Larix gmelinii and Fraxinus mandshurica. Chinese Bulletin of Botany 45: 174-181.',
                                                                                 'Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.',
                                                                                                     'Wang W, Wang Y, Hoch G, Wang Z, Gu J. 2018. Linkage of root morphology to anatomy with increasing nitrogen availability in six temperate tree species. Plant Soil 425: 198-200.',
                                                                            'Salahuddin, Rewald B, Razaq M, Lixue Y, Li J, Khan F, Jie Z. 2018. Root order-based traits of Manchurian walnut & larch and their plasticity under interspecific competition. Scientific Reports 8: 9815',
 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.',
                                                                           'Wang Y, Gao G, Wang N, Wang Z, Gu J. 2019. Effects of morphology and stand structure on root biomass and length differed between absorptive and transport roots in temperate trees. Plant Soil, in press.']
Length: 7, dtype: str",Larix,gmelinii,Pinaceae,Pinales
Lespedeza bicolor,1.0,-1.406905315024015,4.931618323063865,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Lespedeza,bicolor,Fabaceae,Fabales
Lespedeza thunbergii,1.0,-1.474470052023616,4.757488255324351,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Lespedeza,thunbergii,Fabaceae,Fabales
Lindera communis,1.0,-0.9288695140810151,3.6575779940959783,"<ArrowStringArray>
['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']
Length: 1, dtype: str",Lindera,communis,Lauraceae,Laurales
Lindera obtusiloba,1.0,-1.3417991212333393,4.527325535091816,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Lindera,obtusiloba,Lauraceae,Laurales
Liquidambar formosana,1.0,-1.2954181787876518,4.269078494900241,"<ArrowStringArray>
['Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 2, dtype: str",Liquidambar,formosana,Altingiaceae,Saxifragales
Liquidambar styraciflua,1.0,-1.2045901448413856,3.4570150883595043,"<ArrowStringArray>
[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.', 'Valverde et al (unpublished)']
Length: 2, dtype: str",Liquidambar,styraciflua,Altingiaceae,Saxifragales
Liriodendron chinense,1.0,-0.5832977551499219,3.0536237519697687,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']
Length: 2, dtype: str",Liriodendron,chinense,Magnoliaceae,Magnoliales
Liriodendron tulipifera,1.0,-0.5541500314341674,2.4702260315786053,"<ArrowStringArray>
[' Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.',
                                                'McCormack ML, Adams TS, Smithwick EAH, Eissenstat DM. 2012. Predicting fine root lifespan from plant functional traits in temperate trees. New Phytologist 195:823-831.',
                                                   'Pregitzer KS, DeForest JL, Burton AJ, Allen MF, Ruess RW, Hendrick RL. 2002. Fine root architecture of nine North American trees. Ecological Monographs 72: 293-309.',
                                                                                                                                                                                           'Valverde et al (unpublished)']
Length: 4, dtype: str",Liriodendron,tulipifera,Magnoliaceae,Magnoliales
Lithocarpus chiungchungensis,1.0,-1.5162208307229665,4.326910252115215,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Lithocarpus,chiungchungensis,Fagaceae,Fagales
Lithocarpus cleistocarpus,1.0,-1.2941710722440847,4.231227348294458,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Lithocarpus,cleistocarpus,Fagaceae,Fagales
Lithocarpus fenestratus,1.0,-0.5181440045736706,2.6272016132388893,"<ArrowStringArray>
['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']
Length: 1, dtype: str",Lithocarpus,fenestratus,Fagaceae,Fagales
Litsea baviensis,1.0,-0.34822503093608975,2.5664866367804233,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Litsea,baviensis,Lauraceae,Laurales
Litsea cubeba,1.0,-0.9015745480384745,3.688629422858727,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Litsea,cubeba,Lauraceae,Laurales
Litsea elongata,1.0,-1.1427732889689353,3.875894198777764,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Litsea,elongata,Lauraceae,Laurales
Litsea ichangensis,1.0,-0.9069903646768557,4.118515873267373,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Litsea,ichangensis,Lauraceae,Laurales
Litsea verticillata,1.0,-0.6474283949149995,2.7466296830696852,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Litsea,verticillata,Lauraceae,Laurales
Lonicera chrysantha,1.0,-1.372292841484077,5.141958617938513,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Lonicera,chrysantha,Caprifoliaceae,Dipsacales
Macaranga sampsonii,1.0,-1.9736662040725328,4.72974804048834,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.', 'Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']
Length: 2, dtype: str",Macaranga,sampsonii,Euphorbiaceae,Malpighiales
Machilus breviflora,1.0,-0.5813032827187808,2.9749723561768375,"<ArrowStringArray>
['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 2, dtype: str",Machilus,breviflora,Lauraceae,Laurales
Machilus kwangtungensis,1.0,-0.8534802654634799,3.475067230228611,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Machilus,kwangtungensis,Lauraceae,Laurales
Machilus nanmu,1.0,-0.7322952643508026,3.344264745685408,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Machilus,nanmu,Lauraceae,Laurales
Machilus oculodracontis,1.0,-0.7550225842780328,3.3214324131932926,"<ArrowStringArray>
['Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.']
Length: 1, dtype: str",Machilus,oculodracontis,Lauraceae,Laurales
