Time,Insertion date,Sampling date,date (mid-point),Ring,Plot,CO2 treat,Nitrate,Ammonium,Phosphate
2,7/4/2012,8/1/2012,7/18/2012,5,8,elev,1020.05,10.09,6.52
2,7/4/2012,8/1/2012,7/18/2012,6,1,amb,1369.04,0.88,4.29
2,7/4/2012,8/1/2012,7/18/2012,6,2,amb,2626.14,21.3,1.96
2,7/4/2012,8/1/2012,7/18/2012,6,3,amb,1808.14,21.25,5.54
2,7/4/2012,8/1/2012,7/18/2012,6,4,amb,2747.27,1.46,2.14
2,7/4/2012,8/1/2012,7/18/2012,6,5,amb,900.08,4.29,2.25
2,7/4/2012,8/1/2012,7/18/2012,6,6,amb,2468.68,11.61,1.43
2,7/4/2012,8/1/2012,7/18/2012,6,7,amb,906.08,3.71,2.12
2,7/4/2012,8/1/2012,7/18/2012,6,8,amb,1222.43,36.67,8.34
3,7/4/2012,8/29/2012,8/1/2012,1,1,elev,411,65.89,0.53
3,7/4/2012,8/29/2012,8/1/2012,1,2,elev,498.27,79.43,0.52
3,7/4/2012,8/29/2012,8/1/2012,1,3,elev,831.92,71.83,1.1
3,7/4/2012,8/29/2012,8/1/2012,1,4,elev,143.64,67.5,0.51
3,7/4/2012,8/29/2012,8/1/2012,1,5,elev,861.88,292.75,0.79
3,7/4/2012,8/29/2012,8/1/2012,1,6,elev,411.35,76.98,1.45
3,7/4/2012,8/29/2012,8/1/2012,1,7,elev,249.77,79.42,1.45
3,7/4/2012,8/29/2012,8/1/2012,1,8,elev,396.8,64.95,0.43
3,7/4/2012,8/29/2012,8/1/2012,2,1,amb,626.56,79.23,1.02
3,7/4/2012,8/29/2012,8/1/2012,2,2,amb,290.49,64.88,0.41
3,7/4/2012,8/29/2012,8/1/2012,2,3,amb,240.18,79.11,0.51
3,7/4/2012,8/29/2012,8/1/2012,2,4,amb,250.75,80.62,0.62
3,7/4/2012,8/29/2012,8/1/2012,2,5,amb,161.35,80.2,0.74
3,7/4/2012,8/29/2012,8/1/2012,2,6,amb,150.38,63.24,0.71
3,7/4/2012,8/29/2012,8/1/2012,2,7,amb,756.89,281.35,0.85
3,7/4/2012,8/29/2012,8/1/2012,2,8,amb,330.54,70.83,0.33
3,7/4/2012,8/29/2012,8/1/2012,3,1,amb,77.92,80.4,1.69
3,7/4/2012,8/29/2012,8/1/2012,3,2,amb,29.44,159.26,0.64
3,7/4/2012,8/29/2012,8/1/2012,3,3,amb,372.63,106.97,0.59
3,7/4/2012,8/29/2012,8/1/2012,3,4,amb,249.34,78.29,0.8
3,7/4/2012,8/29/2012,8/1/2012,3,5,amb,110.65,133.18,0.82
3,7/4/2012,8/29/2012,8/1/2012,3,6,amb,201.88,83.95,0.64
3,7/4/2012,8/29/2012,8/1/2012,3,7,amb,408.23,85.13,1.06
3,7/4/2012,8/29/2012,8/1/2012,3,8,amb,152.39,64.41,0.49
3,7/4/2012,8/29/2012,8/1/2012,4,1,elev,680.29,98.69,3.98
3,7/4/2012,8/29/2012,8/1/2012,4,2,elev,628.56,74.73,0.43
3,7/4/2012,8/29/2012,8/1/2012,4,3,elev,791,87.81,0.86
3,7/4/2012,8/29/2012,8/1/2012,4,4,elev,559.12,83.53,0.66
3,7/4/2012,8/29/2012,8/1/2012,4,5,elev,321.76,80.32,0.91
3,7/4/2012,8/29/2012,8/1/2012,4,6,elev,400.12,71.77,0.74
3,7/4/2012,8/29/2012,8/1/2012,4,7,elev,251.42,95.36,0.58
3,7/4/2012,8/29/2012,8/1/2012,4,8,elev,276.65,102.69,0.39
3,7/4/2012,8/29/2012,8/1/2012,5,1,elev,1057.97,73.8,1.65
3,7/4/2012,8/29/2012,8/1/2012,5,2,elev,751.4,73.11,2.11
3,7/4/2012,8/29/2012,8/1/2012,5,3,elev,823.71,84.05,0.45
3,7/4/2012,8/29/2012,8/1/2012,5,4,elev,1001.02,90.29,1.22
3,7/4/2012,8/29/2012,8/1/2012,5,5,elev,446.87,75.16,0.34
3,7/4/2012,8/29/2012,8/1/2012,5,6,elev,595.55,69.92,0.7
3,7/4/2012,8/29/2012,8/1/2012,5,7,elev,1143.28,75.73,0.72
3,7/4/2012,8/29/2012,8/1/2012,5,8,elev,739.15,69.36,0.61
3,7/4/2012,8/29/2012,8/1/2012,6,1,amb,451.55,70.55,1.22
3,7/4/2012,8/29/2012,8/1/2012,6,2,amb,1013.5,80.24,1.13
3,7/4/2012,8/29/2012,8/1/2012,6,3,amb,881.73,67.38,0.95
3,7/4/2012,8/29/2012,8/1/2012,6,4,amb,999.65,52.67,1.47
3,7/4/2012,8/29/2012,8/1/2012,6,5,amb,574.72,52.33,2.17
3,7/4/2012,8/29/2012,8/1/2012,6,6,amb,637.91,59.86,0.55
3,7/4/2012,8/29/2012,8/1/2012,6,7,amb,222.41,54.41,0.75
3,7/4/2012,8/29/2012,8/1/2012,6,8,amb,494.8,61.24,0.59
4,8/29/2012,9/28/2012,9/13/2012,1,1,elev,160.42,110.76,1.07
4,8/29/2012,9/28/2012,9/13/2012,1,2,elev,248.04,139.08,3.96
4,8/29/2012,9/28/2012,9/13/2012,1,3,elev,264.78,129.45,3.32
4,8/29/2012,9/28/2012,9/13/2012,1,4,elev,314.72,300,5.83
4,8/29/2012,9/28/2012,9/13/2012,1,5,elev,507.34,158.17,1.79
4,8/29/2012,9/28/2012,9/13/2012,1,6,elev,164.09,162.84,4.08
4,8/29/2012,9/28/2012,9/13/2012,1,7,elev,251.86,185.86,1.76
4,8/29/2012,9/28/2012,9/13/2012,1,8,elev,221.65,120,1.18
4,8/29/2012,9/28/2012,9/13/2012,2,1,amb,341.37,160.23,2.32
4,8/29/2012,9/28/2012,9/13/2012,2,2,amb,185.84,130.16,1.99
4,8/29/2012,9/28/2012,9/13/2012,2,3,amb,120.78,110.18,1.6
4,8/29/2012,9/28/2012,9/13/2012,2,4,amb,229.92,100.65,3.13
4,8/29/2012,9/28/2012,9/13/2012,2,5,amb,194.62,124.64,1.98
4,8/29/2012,9/28/2012,9/13/2012,2,6,amb,148.71,332.32,1.13
4,8/29/2012,9/28/2012,9/13/2012,2,7,amb,361.57,142.94,12.05
4,8/29/2012,9/28/2012,9/13/2012,2,8,amb,256.68,136.58,2.83
4,8/29/2012,9/28/2012,9/13/2012,3,1,amb,32.87,92.56,9.57
4,8/29/2012,9/28/2012,9/13/2012,3,2,amb,175.4,154.85,1
4,8/29/2012,9/28/2012,9/13/2012,3,3,amb,478.77,111.91,1.05
4,8/29/2012,9/28/2012,9/13/2012,3,4,amb,256.66,108.53,1.88
4,8/29/2012,9/28/2012,9/13/2012,3,5,amb,600.62,199.79,3.16
4,8/29/2012,9/28/2012,9/13/2012,3,6,amb,558.66,115.63,1.94
4,8/29/2012,9/28/2012,9/13/2012,3,7,amb,1085.53,133.22,1.68
4,8/29/2012,9/28/2012,9/13/2012,3,8,amb,873.95,254.22,1.06
4,8/29/2012,9/28/2012,9/13/2012,4,1,elev,641.89,260.69,1.41
4,8/29/2012,9/28/2012,9/13/2012,4,2,elev,338.53,135.39,2.37
4,8/29/2012,9/28/2012,9/13/2012,4,3,elev,550.41,154.23,1.48
4,8/29/2012,9/28/2012,9/13/2012,4,4,elev,505.18,153.8,0.9
4,8/29/2012,9/28/2012,9/13/2012,4,5,elev,221.14,142.09,2.69
4,8/29/2012,9/28/2012,9/13/2012,4,6,elev,589.97,180.68,2.16
4,8/29/2012,9/28/2012,9/13/2012,4,7,elev,263.19,125.87,1.82
4,8/29/2012,9/28/2012,9/13/2012,4,8,elev,259.93,116.26,2.1
4,8/29/2012,9/28/2012,9/13/2012,5,1,elev,2158.4,138.34,1.98
4,8/29/2012,9/28/2012,9/13/2012,5,2,elev,542.99,118.07,1.48
4,8/29/2012,9/28/2012,9/13/2012,5,3,elev,1191.1,148.4,0.91
4,8/29/2012,9/28/2012,9/13/2012,5,4,elev,922.25,145.59,1.73
4,8/29/2012,9/28/2012,9/13/2012,5,5,elev,505.62,135.31,1.66
4,8/29/2012,9/28/2012,9/13/2012,5,6,elev,1468.83,135.81,1.53
4,8/29/2012,9/28/2012,9/13/2012,5,7,elev,1658.31,134.35,2.11
4,8/29/2012,9/28/2012,9/13/2012,5,8,elev,1223.69,122.93,1.63
4,8/29/2012,9/28/2012,9/13/2012,6,1,amb,141.78,104.38,1.22
4,8/29/2012,9/28/2012,9/13/2012,6,2,amb,338.98,116.11,1.82
4,8/29/2012,9/28/2012,9/13/2012,6,3,amb,224.87,158.89,1.89
4,8/29/2012,9/28/2012,9/13/2012,6,4,amb,459.2,91.96,3.12
4,8/29/2012,9/28/2012,9/13/2012,6,5,amb,263.64,84.73,8.94
4,8/29/2012,9/28/2012,9/13/2012,6,6,amb,485.34,97.63,22.97
4,8/29/2012,9/28/2012,9/13/2012,6,7,amb,126.2,81.72,1.57
4,8/29/2012,9/28/2012,9/13/2012,6,8,amb,470.25,108.67,3.44
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
