time,date,ring,plot,co2,no,nh,po
5,6/11/2013,1,3,elev,2.575,2.277,1.569
5,6/11/2013,1,4,elev,2.244,1.777,1.03
5,6/11/2013,2,1,amb,3.409,1.414,1.4
5,6/11/2013,2,2,amb,2.672,1.54,1.638
5,6/11/2013,2,3,amb,2.21,1.695,1.343
5,6/11/2013,2,4,amb,2.743,1.511,1.408
5,6/11/2013,3,1,amb,0.874,2.026,1.233
5,6/11/2013,3,2,amb,0.712,3.121,1.305
5,6/11/2013,3,3,amb,0.381,0.597,1.253
5,6/11/2013,3,4,amb,0.866,1.401,1.094
5,6/11/2013,4,1,elev,2.346,2.795,1.454
5,6/11/2013,4,2,elev,1.264,1.844,1.22
5,6/11/2013,4,3,elev,1.409,2.329,1.28
5,6/11/2013,4,4,elev,1.802,1.896,1.22
5,6/11/2013,5,1,elev,3.984,4.538,1.944
5,6/11/2013,5,2,elev,2.047,5.213,1.459
5,6/11/2013,5,3,elev,3.19,2.576,1.583
5,6/11/2013,5,4,elev,2.941,5.48,1.879
5,6/11/2013,6,1,amb,2.83,2.825,1.285
5,6/11/2013,6,2,amb,3.311,2.461,1.347
5,6/11/2013,6,3,amb,8.954,2.403,1.677
5,6/11/2013,6,4,amb,6.716,1.848,1.985
6,9/3/2013,1,1,elev,4.263,4.007,2.67
6,9/3/2013,1,2,elev,1.101,2.818,2.506
6,9/3/2013,1,3,elev,1.979,2.651,2.761
6,9/3/2013,1,4,elev,1.442,3.709,2.304
6,9/3/2013,2,1,amb,2.164,2.595,2.094
6,9/3/2013,2,2,amb,2.582,2.759,2.345
6,9/3/2013,2,3,amb,0.834,2.131,2.094
6,9/3/2013,2,4,amb,2.118,2.683,2.831
6,9/3/2013,3,1,amb,0.281,2.324,2.245
6,9/3/2013,3,2,amb,0.456,3.066,1.741
6,9/3/2013,3,3,amb,0.448,4.619,1.766
6,9/3/2013,3,4,amb,0.772,5.72,1.922
6,9/3/2013,4,1,elev,1.019,5.652,1.529
6,9/3/2013,4,2,elev,1.429,6.242,1.867
6,9/3/2013,4,3,elev,1.265,7.13,1.962
6,9/3/2013,4,4,elev,2.089,5.65,2.129
6,9/3/2013,5,1,elev,4,6.342,2.187
6,9/3/2013,5,2,elev,1.604,2.832,2.349
6,9/3/2013,5,3,elev,2.247,2.426,2.191
6,9/3/2013,5,4,elev,1.989,5.733,2.516
6,9/3/2013,6,1,amb,2.137,4.894,1.887
6,9/3/2013,6,2,amb,2.488,2.559,2.303
6,9/3/2013,6,3,amb,5.48,3.301,2.414
6,9/3/2013,6,4,amb,4.843,6.804,2.58
