original_reference,original_ref_checked,non_original_reference,habitat_naturality,biome,species,mycorrhiza type,remark_mycorrhiza_ type,curator_remark_1_name,curator_remark_1_comment,curator_remark_2_name,curator _remark_2_comment,curator_remark_3_name,curator_remark_3_comment,other_remarks,consensus_mycorrhizal_state
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Acer platanoides,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Acer platanoides,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Acer platanoides,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Acer platanoides,non-mycorrhizal (checked for all types),,Leho Tedersoo,"incorrect report (this genus is AM, most reports of this species are AM-only)",,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Acer pseudoplatanus,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Acer pseudoplatanus,non-mycorrhizal (checked for all types),,Leho Tedersoo,"incorrect report (this genus is AM, most reports of this species are AM-only)",,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Acer pseudoplatanus,non-mycorrhizal (checked for all types),,Leho Tedersoo,"incorrect report (this genus is AM, most reports of this species are AM-only)",,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Acer rubrum,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Acer rubrum,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Acer saccharum,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Acer saccharum,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Aesculus hippocastanum,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Aesculus hippocastanum,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Aesculus hippocastanum,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Carpinus betulus,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Carpinus betulus,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Carpinus betulus,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Carpinus cordata,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Cornus florida,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Equisetum hyemale,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,grassland: temperate grassland biome,Equisetum hyemale,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Equisetum hyemale,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Equisetum hyemale,AM; no others,,,,,,,,,NM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,tundra biome,Equisetum pratense,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,tundra biome,Equisetum pratense,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,tundra biome,Equisetum pratense,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Equisetum pratense,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Equisetum pratense,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Equisetum pratense,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Equisetum pratense,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Equisetum pratense,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Equisetum pratense,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Equisetum pratense,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate coniferous forest biome,Equisetum pratense,non-mycorrhizal (checked for all types),,,,,,,,,NM-AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,,,Fraxinus americana,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,,,Fraxinus americana,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Fraxinus americana,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Fraxinus excelsior,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Fraxinus excelsior,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Fraxinus excelsior,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Fraxinus excelsior,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Fraxinus excelsior,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Fraxinus excelsior,AM; no others,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Fraxinus mandshurica,non-mycorrhizal (checked for all types),,Leho Tedersoo,probably incorrect (this genus is AM),,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,,,Fraxinus americana,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,,,Fraxinus americana,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Fraxinus americana,AM; no others,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Ginkgo biloba,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Ginkgo biloba,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Ginkgo biloba,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Gleditsia triacanthos,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Gleditsia triacanthos,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,,,Gleditsia triacanthos,AM; no others,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Hamamelis virginiana,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Ilex opaca,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Juglans mandshurica,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Juglans mandshurica,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Juglans mandshurica,non-mycorrhizal (checked for all types),,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM)",,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Juglans mandshurica,AM; no others,,,,,,,,,AM
