binominal,photosyntheticPathway,references,referencesDataset
Fraxinus americana,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Garcinia cowa,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Garcinia oblongifolia,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Gironniera subaequalis,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Gleditsia triacanthos,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Helicia formosana,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Ilex opaca,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Juglans nigra,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Koelreuteria paniculata,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Liquidambar styraciflua,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Liriodendron chinense,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Liriodendron tulipifera,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Litsea cubeba,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Magnolia acuminata,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Magnolia grandiflora,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Magnolia stellata,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Magnolia virginiana,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Microcos paniculata,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Nephelium lappaceum,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Nyssa sylvatica,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Pentaphylax euryoides,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Pistacia chinensis,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Platanus occidentalis,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Populus deltoides,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Pterospermum acerifolium,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Rhaphiolepis indica,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Sassafras albidum,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Schima wallichii,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Sterculia lanceolata,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Ulmus americana,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Vaccinium mandarinorum,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Aesculus parviflora,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Castanea henryi,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Magnolia denudata,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Magnolia kobus,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Magnolia macrophylla,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Magnolia tripetala,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Syringa reticulata,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Syzygium hancei,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Syzygium levinei,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Archidendron lucidum,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Ficus variolosa,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Machilus velutina,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Osmanthus didymopetalus,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Styphnolobium japonicum,C3,"Valverde-Barrantes O J, Horning A L, Smemo K A, Blackwood C B. 2016. Phylogenetically structured traits in root systems influence arbuscular mycorrhizal colonization in woody angiosperms. Plant and Soil, 404:1-12",
Cinnamomum camphora,C3,"Liu C, Xiang w, Zou L, Lei P, Zeng Y, Ouyang S, Deng X, Fang X, Liu Z, Peng C. 2019. Variation in the functional traits of fine roots is linked to phylogenetics in the common tree species of Chinese subtropical forests. Plant Soil",
Cunninghamia lanceolata,C3,"Liu C, Xiang w, Zou L, Lei P, Zeng Y, Ouyang S, Deng X, Fang X, Liu Z, Peng C. 2019. Variation in the functional traits of fine roots is linked to phylogenetics in the common tree species of Chinese subtropical forests. Plant Soil",
Liriodendron chinense,C3,"Liu C, Xiang w, Zou L, Lei P, Zeng Y, Ouyang S, Deng X, Fang X, Liu Z, Peng C. 2019. Variation in the functional traits of fine roots is linked to phylogenetics in the common tree species of Chinese subtropical forests. Plant Soil",
Acer platanoides,C3,"Kutschera L , Lichtenegger E. 2002. Wurzelatlas mitteleuropäischer Waldbäume und Sträucher. Bd.6",
Acer pseudoplatanus,C3,"Kutschera L , Lichtenegger E. 2002. Wurzelatlas mitteleuropäischer Waldbäume und Sträucher. Bd.6",
Aesculus hippocastanum,C3,"Kutschera L , Lichtenegger E. 2002. Wurzelatlas mitteleuropäischer Waldbäume und Sträucher. Bd.6",
Carpinus betulus,C3,"Kutschera L , Lichtenegger E. 2002. Wurzelatlas mitteleuropäischer Waldbäume und Sträucher. Bd.6",
Fraxinus excelsior,C3,"Kutschera L , Lichtenegger E. 2002. Wurzelatlas mitteleuropäischer Waldbäume und Sträucher. Bd.6",
Populus tremula,C3,"Kutschera L , Lichtenegger E. 2002. Wurzelatlas mitteleuropäischer Waldbäume und Sträucher. Bd.6",
Quercus rubra,C3,"Kutschera L , Lichtenegger E. 2002. Wurzelatlas mitteleuropäischer Waldbäume und Sträucher. Bd.6",
Sorbus aucuparia,C3,"Kutschera L , Lichtenegger E. 2002. Wurzelatlas mitteleuropäischer Waldbäume und Sträucher. Bd.6",
Tilia cordata,C3,"Kutschera L , Lichtenegger E. 2002. Wurzelatlas mitteleuropäischer Waldbäume und Sträucher. Bd.6",
Acer pseudoplatanus,C3,"Mrak T, Gri?ar J. Atlas of Woody Plant Roots: Morphology and Anatomy with Special Emphasis on Fine Roots",
Carpinus betulus,C3,"Mrak T, Gri?ar J. Atlas of Woody Plant Roots: Morphology and Anatomy with Special Emphasis on Fine Roots",
Fraxinus excelsior,C3,"Mrak T, Gri?ar J. Atlas of Woody Plant Roots: Morphology and Anatomy with Special Emphasis on Fine Roots",
Cunninghamia lanceolata,C3,Quanquan J. 2011. Functional traits of fine roots and their relationship with leaf traits of 50 major species in a subtropical forest in Gutianshan. Master thesis. Qiqihar University,
Rhaphiolepis indica,C3,Quanquan J. 2011. Functional traits of fine roots and their relationship with leaf traits of 50 major species in a subtropical forest in Gutianshan. Master thesis. Qiqihar University,
Vaccinium mandarinorum,C3,Quanquan J. 2011. Functional traits of fine roots and their relationship with leaf traits of 50 major species in a subtropical forest in Gutianshan. Master thesis. Qiqihar University,
Quercus rubra,C3,Anderson & Tomlinson 1998 . New Phytol. 140: 477-491,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer rubrum,C3,Ashton et al 1999 . For. Sci. 45: 512-519,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer saccharum,C3,Ashton et al 1999 . For. Sci. 45: 512-519,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus deltoides,C3,Bassman et al. 2001 . Int. J. Plant Sci. 162: 103-110,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer rubrum,C3,Bazzaz et al. 1990 . Can. J. For. Res. 20: 1479-1484,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer saccharum,C3,Bazzaz et al. 1990 . Can. J. For. Res. 20: 1479-1484,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Pinus strobus,C3,Bazzaz et al. 1990 . Can. J. For. Res. 20: 1479-1484,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus tremuloides,C3,Brown & Higginbotham 1986 . Tree Physiol. 2: 223-232,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
