binominal,F00004,F01286,F01287,F00043
Larix gmelinii,"Sun J, Gu J, Wang Z. 2012. Discrepancy in fine root turnover estimates between diameter-based and branch-order-based approaches: a case study in two temperate tree species. Journal of Forestry Research 23: 575-581.",Larix,gmelinii,C3
Larix gmelinii,"Jia S, Wang Z, Li X, Sun Y, Zhang X, Liang A. 2010. N fertilization affects on soil respiration, microbial biomass and root respiration in Larix gmelinii and Fraxinus mandshurica plantations in China. Plant Soil 333: 325-336.",Larix,gmelinii,C3
Fraxinus mandshurica,"Jia S, Wang Z, Li X, Sun Y, Zhang X, Liang A. 2010. N fertilization affects on soil respiration, microbial biomass and root respiration in Larix gmelinii and Fraxinus mandshurica plantations in China. Plant Soil 333: 325-336.",Fraxinus,mandshurica,C3
Larix gmelinii,"Ouimette A, Guo DL, Hobbie E, and Gu JC. 2012. Insights into root growth, function, and mycorrhizal abundance from chemical and isotopic data across root orders. Plant soil 367:313-326.",Larix,gmelinii,C3
Larix gmelinii,"Wang Z, Guo D, Wang X, Gu J, Mei L. 2006. Fine root architecture, morphology, and biomass of different branch orders of two Chinese temperate tree species. Plant Soil 288:155-171.",Larix,gmelinii,C3
Fraxinus mandshurica,"Wang Z, Guo D, Wang X, Gu J, Mei L. 2006. Fine root architecture, morphology, and biomass of different branch orders of two Chinese temperate tree species. Plant Soil 288:155-171.",Fraxinus,mandshurica,C3
Acer rubrum,"Bauerle TL, Bauerle WL, Goebel M, Barnard DM. 2013. Root system distribution influences substrate moisture measurements in containerized ornamental tree species. Horttechnology 23(6): 754-759.",Acer,rubrum,C3
Carpinus betulus,"Bauerle TL, Bauerle WL, Goebel M, Barnard DM. 2013. Root system distribution influences substrate moisture measurements in containerized ornamental tree species. Horttechnology 23(6): 754-759.",Carpinus,betulus,C3
Gleditsia triacanthos,"Bauerle TL, Bauerle WL, Goebel M, Barnard DM. 2013. Root system distribution influences substrate moisture measurements in containerized ornamental tree species. Horttechnology 23(6): 754-759.",Gleditsia,triacanthos,C3
Quercus rubra,"Bauerle TL, Bauerle WL, Goebel M, Barnard DM. 2013. Root system distribution influences substrate moisture measurements in containerized ornamental tree species. Horttechnology 23(6): 754-759.",Quercus,rubra,C3
Ardisia quinquegona,"Guo YY, Wang JJ, Kong DL, Wang W, Guo DL, Wang YB, Xie QL, Liu YS, Zeng H. 2013. Fine branch orders contribute differentially to uptake, allocation, and return of potentially toxic metals. Environmental Science and Technology 47:11465-11472.",Ardisia,quinquegona,C3
Cinnamomum camphora,"Guo YY, Wang JJ, Kong DL, Wang W, Guo DL, Wang YB, Xie QL, Liu YS, Zeng H. 2013. Fine branch orders contribute differentially to uptake, allocation, and return of potentially toxic metals. Environmental Science and Technology 47:11465-11472.",Cinnamomum,camphora,C3
Cryptocarya chinensis,"Guo YY, Wang JJ, Kong DL, Wang W, Guo DL, Wang YB, Xie QL, Liu YS, Zeng H. 2013. Fine branch orders contribute differentially to uptake, allocation, and return of potentially toxic metals. Environmental Science and Technology 47:11465-11472.",Cryptocarya,chinensis,C3
Cryptocarya concinna,"Guo YY, Wang JJ, Kong DL, Wang W, Guo DL, Wang YB, Xie QL, Liu YS, Zeng H. 2013. Fine branch orders contribute differentially to uptake, allocation, and return of potentially toxic metals. Environmental Science and Technology 47:11465-11472.",Cryptocarya,concinna,C3
Populus trichocarpa,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,trichocarpa,C3
Populus tremula,"Hajek P, Hertel D, Leuschner C. 2014. Root order- and root age-dependent response of two poplar species to belowground competition. Plant Soil 337:337-355.",Populus,tremula,C3
Acer negundo,"Comas LH, Eissenstat DM. 2004. Linking fine root traits to maximum potential growth rate among 11 mature temperate tree species. Functional Ecology 18:388-397",Acer,negundo,C3
Acer saccharum,"Comas LH, Eissenstat DM. 2004. Linking fine root traits to maximum potential growth rate among 11 mature temperate tree species. Functional Ecology 18:388-397",Acer,saccharum,C3
Quercus rubra,"Comas LH, Eissenstat DM. 2004. Linking fine root traits to maximum potential growth rate among 11 mature temperate tree species. Functional Ecology 18:388-397",Quercus,rubra,C3
Quercus alba,"Comas LH, Eissenstat DM. 2004. Linking fine root traits to maximum potential growth rate among 11 mature temperate tree species. Functional Ecology 18:388-397",Quercus,alba,C3
Carya glabra,"Comas LH, Eissenstat DM. 2004. Linking fine root traits to maximum potential growth rate among 11 mature temperate tree species. Functional Ecology 18:388-397",Carya,glabra,C3
Pinus virginiana,"Comas LH, Eissenstat DM. 2004. Linking fine root traits to maximum potential growth rate among 11 mature temperate tree species. Functional Ecology 18:388-397",Pinus,virginiana,C3
Pinus strobus,"Comas LH, Eissenstat DM. 2004. Linking fine root traits to maximum potential growth rate among 11 mature temperate tree species. Functional Ecology 18:388-397",Pinus,strobus,C3
Phellodendron amurense,"Wei X, Liu Y, Chen HB. 2008. Anatomical and functional heterogeneity among different root orders of Phellodendron amurense. Journal of Plant Ecology (Chinese Version) 32: 1238-1247.",Phellodendron,amurense,C3
Fraxinus mandshurica,"Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.",Fraxinus,mandshurica,C3
Juglans mandshurica,"Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.",Juglans,mandshurica,C3
Phellodendron amurense,"Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.",Phellodendron,amurense,C3
Tilia mandshurica,"Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.",Tilia,mandshurica,C3
Ulmus davidiana,"Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.",Ulmus,davidiana,C3
Cinnamomum camphora,"Wei P, Li XW, Fan C, Zhang TF, Liu YK, Su Y, Yang ZJ. 2013. Fine root biomass and carbon storage in surface soil of Cinnamomum camphora plantation in Rainy Area of West China. Chinese Journal of Applied Ecology 24: 2755-2762.",Cinnamomum,camphora,C3
Fraxinus mandshurica,"Wang XR, Wang ZQ, Han YZ, Gu JC, Guo DL, Mei L. 2005. Variations of fine root diameter with root order in Manchurian Ash and Dahurian Larch plantations. 2005. Acta Phytoecologica Sinica 29:871-877.",Fraxinus,mandshurica,C3
Larix gmelinii,"Wang XR, Wang ZQ, Han YZ, Gu JC, Guo DL, Mei L. 2005. Variations of fine root diameter with root order in Manchurian Ash and Dahurian Larch plantations. 2005. Acta Phytoecologica Sinica 29:871-877.",Larix,gmelinii,C3
Pinus tabuliformis,"Wang G, Fahey TJ, Xue S, Liu F. 2013. Root morphology and architecture respond to N addition in Pinus tabuliformis, west China. Oecologia 171:583-590.",Pinus,tabuliformis,C3
Magnolia odora,"Xiong D, Huang J, Yang Z, Lu Z, Chen G, Yang Y. 2012. Fine root architecture and morphology among different branch orders of six subtropical tree species. Acta Ecologica Sinica 32: 1888-1897.",Magnolia,odora,C3
Populus tremuloides,"Zadworny M, Eissenstat DM. 2011. Contrasting the morphology, anatomy and fungal colonization of new pioneer and fibrous roots. New Phytologist 190:213-221.",Populus,tremuloides,C3
Acer negundo,"Zadworny M, Eissenstat DM. 2011. Contrasting the morphology, anatomy and fungal colonization of new pioneer and fibrous roots. New Phytologist 190:213-221.",Acer,negundo,C3
Acer saccharum,"Zadworny M, Eissenstat DM. 2011. Contrasting the morphology, anatomy and fungal colonization of new pioneer and fibrous roots. New Phytologist 190:213-221.",Acer,saccharum,C3
Juglans nigra,"Zadworny M, Eissenstat DM. 2011. Contrasting the morphology, anatomy and fungal colonization of new pioneer and fibrous roots. New Phytologist 190:213-221.",Juglans,nigra,C3
Liriodendron tulipifera,"Zadworny M, Eissenstat DM. 2011. Contrasting the morphology, anatomy and fungal colonization of new pioneer and fibrous roots. New Phytologist 190:213-221.",Liriodendron,tulipifera,C3
Acer pseudoplatanus,"Goebel M, Hobbie SE, Bulaj B, Zadworny M, Archibald DD, Oleksyn J, Reich PB, Eissenstat DM. 2011. Decomposition of the finest root branching orders: linking belowground dynamics to fine-root function and structure. Ecological Monographs 81:89-102.",Acer,pseudoplatanus,C3
Tilia cordata,"Goebel M, Hobbie SE, Bulaj B, Zadworny M, Archibald DD, Oleksyn J, Reich PB, Eissenstat DM. 2011. Decomposition of the finest root branching orders: linking belowground dynamics to fine-root function and structure. Ecological Monographs 81:89-102.",Tilia,cordata,C3
Larix gmelinii,"Jia S, Wang Z, Li X, Zhang X, Mclaughlin NB. 2011. Effect of nitrogen fertilizer, root branch order and temperature on respiration and tissue N concentration of fine roots in Larix gmelinii and Fraxinus mandshurica.  Tree physiology 31: 718-726",Larix,gmelinii,C3
Fraxinus mandshurica,"Jia S, Wang Z, Li X, Zhang X, Mclaughlin NB. 2011. Effect of nitrogen fertilizer, root branch order and temperature on respiration and tissue N concentration of fine roots in Larix gmelinii and Fraxinus mandshurica.  Tree physiology 31: 718-726",Fraxinus,mandshurica,C3
Larix gmelinii,"Mei L, Gu J, Zhang Z, Wang Z. 2010. Responses of fine root mass, length, production and turnover to soil nitrogen fertilization in Larix gmelinii and Fraxinus mandshurica forests in Northeastern China J for Res 15:194-201. ",Larix,gmelinii,C3
Fraxinus mandshurica,"Mei L, Gu J, Zhang Z, Wang Z. 2010. Responses of fine root mass, length, production and turnover to soil nitrogen fertilization in Larix gmelinii and Fraxinus mandshurica forests in Northeastern China J for Res 15:194-201. ",Fraxinus,mandshurica,C3
Fraxinus mandshurica,"Xia M, Guo D, Pregitzer, KS. 2010. Ephemeral root modules in Fraxinus mandshurica. New Phytologist 188:1065-1074.",Fraxinus,mandshurica,C3
Fraxinus mandshurica,"Jia SX, Zhao YL, Ding GQ, Sun Y, Xu Y, Wang ZQ. 2010. Relationship among fine-root morphology, anatomy, tissue nitrogen concentration and respiration in different branch root orders in Larix gmelinii and Fraxinus mandshurica. Chinese Bulletin of Botany 45: 174-181.",Fraxinus,mandshurica,C3
Larix gmelinii,"Jia SX, Zhao YL, Ding GQ, Sun Y, Xu Y, Wang ZQ. 2010. Relationship among fine-root morphology, anatomy, tissue nitrogen concentration and respiration in different branch root orders in Larix gmelinii and Fraxinus mandshurica. Chinese Bulletin of Botany 45: 174-181.",Larix,gmelinii,C3
Altingia obovata,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964.",Altingia,obovata,C3
Cryptocarya chinensis,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964.",Cryptocarya,chinensis,C3
Elaeocarpus sylvestris,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964.",Elaeocarpus,sylvestris,C3
Endospermum chinense,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964.",Endospermum,chinense,C3
Acer platanoides,"Rewald B, Rechenmacher A, Godbold DL. 2014. Itâs complicated â Intra-root system variability of respiration and morphological traits in four deciduous tree species. Plant Physiology. DOI: 10.1104/pp.114.240267",Acer,platanoides,C3
Carpinus betulus,"Rewald B, Rechenmacher A, Godbold DL. 2014. Itâs complicated â Intra-root system variability of respiration and morphological traits in four deciduous tree species. Plant Physiology. DOI: 10.1104/pp.114.240267",Carpinus,betulus,C3
Tilia cordata,"Rewald B, Rechenmacher A, Godbold DL. 2014. Itâs complicated â Intra-root system variability of respiration and morphological traits in four deciduous tree species. Plant Physiology. DOI: 10.1104/pp.114.240267",Tilia,cordata,C3
Populus tremuloides,"Adams TS, McCormack ML, Eissenstat DM. 2013. Foraging strategies in trees of different root morphology: the role of root lifespan. Tree physiology 33:940-948.",Populus,tremuloides,C3
Acer negundo,"Adams TS, McCormack ML, Eissenstat DM. 2013. Foraging strategies in trees of different root morphology: the role of root lifespan. Tree physiology 33:940-948.",Acer,negundo,C3
Liriodendron tulipifera,"Adams TS, McCormack ML, Eissenstat DM. 2013. Foraging strategies in trees of different root morphology: the role of root lifespan. Tree physiology 33:940-948.",Liriodendron,tulipifera,C3
Acer saccharum,"Adams CM, Hutchinson TC. 1992. Fine-root growth and chemical composition in declining Central Ontario sugar maple stands. Canadian Journal of Forest Research 22:1489-1503.",Acer,saccharum,C3
Acer saccharum,"Fahey T J, Hughes JW, Pu M, Arthur MA. 1988. Root decomposition and nutrient flux following whole-tree harvest of northern hardwood forest. Forest Science 34:744-768.",Acer,saccharum,C3
Acer saccharum,"Goldfarb D, Hendrick R, Pregitzer K. 1990. Seasonal nitrogen and carbon concentrations in white, brown and woody fine roots of sugar maple (Acer saccharum March). Plant and Soil 126:144-148.",Acer,saccharum,C3
Acer saccharum,"Hendrick RL, Pregitzer KS. 1993. The dynamics of fine root length, biomass, and nitrogen content in two northern hardwood ecosystems. Canadian Journal of Forest Research 23: 2507-2520.",Acer,saccharum,C3
Quercus alba,"Joslin JD, Henderson GS. 1987. Organic matter and nutrients associated with fine root turnover in a white oak stand. Forest Science 33: 330-346.",Quercus,alba,C3
Acer saccharum,"McClaugherty CA, Aber JD, Melillo JM. 1984. Decomposition dynamics of fine roots in forested ecosystems. Oikos 42:378-386.",Acer,saccharum,C3
Pinus strobus,"McClaugherty CA, Aber JD, Melillo JM. 1984. Decomposition dynamics of fine roots in forested ecosystems. Oikos 42:378-386.",Pinus,strobus,C3
Acer saccharum,"Ouimet R, Camire C, Furlan V. 1995. Endomycorrhizal status of sugar maple in relation to tree decline and foliar, fine-roots, and soil chemistry in the Beauce region, Quebec. Canadian Journal of Botany 73:1168-1175.",Acer,saccharum,C3
Liriodendron tulipifera,"Edwards NT, Harris WF. 1977. Carbon cycling in a mixed deciduous forest floor. Ecology 58: 431-437.",Liriodendron,tulipifera,C3
Quercus alba,"Whittaker RH, Woodwell GM. 1969. Structure, production and diversity of the oak-pine forest at Brookhaven, New York. Journal of Ecology 57: 155-174.",Quercus,alba,C3
Populus tremuloides,"Steele SJ, Gower ST, Vogel JG, Norman JM. 1997. Root mass, net primary production and turnover in aspen, jack pine, and black spruce forests in Saskatchewan and Manitoba, Canada. Tree Physiology 17: 577-587.",Populus,tremuloides,C3
Quercus rubra,"Aber JD, Melillo JM, Nadelhoffer KJ, McClaugherty CA, Pastor J. 1985. Fine root turnover in forest ecosystems in relation to quantity and form of nitrogen availability : a comparison of two methods. Oecologia 66: 317-321.",Quercus,rubra,C3
Quercus alba,"Aber JD, Melillo JM, Nadelhoffer KJ, McClaugherty CA, Pastor J. 1985. Fine root turnover in forest ecosystems in relation to quantity and form of nitrogen availability : a comparison of two methods. Oecologia 66: 317-321.",Quercus,alba,C3
Pinus strobus,"Aber JD, Melillo JM, Nadelhoffer KJ, McClaugherty CA, Pastor J. 1985. Fine root turnover in forest ecosystems in relation to quantity and form of nitrogen availability : a comparison of two methods. Oecologia 66: 317-321.",Pinus,strobus,C3
Acer saccharum,"Aber JD, Melillo JM, Nadelhoffer KJ, McClaugherty CA, Pastor J. 1985. Fine root turnover in forest ecosystems in relation to quantity and form of nitrogen availability : a comparison of two methods. Oecologia 66: 317-321.",Acer,saccharum,C3
Nyssa aquatica,"Powell SW, Day FP Jr. 1991. Root production in four communities in the Great Dismal Swamp (Virginia, North Carolina, USA). American Journal of Botany 78: 288-297.",Nyssa,aquatica,C3
Quercus alba,"Whittaker RH, Bormann FH, Likens GE, Siccama TG. 1974. The Hubbard Brook ecosystem study: forest biomass and production. Ecological Monographs 44: 233-252.",Quercus,alba,C3
Quercus rubra,"Nadelhoffer KJ, Aber JD, and Melillo JM. 1985. Fine roots, net primary production, and soil nitrogen availability: a new hypothesis. Ecology 66: 1377-1390.",Quercus,rubra,C3
Quercus alba,"Nadelhoffer KJ, Aber JD, and Melillo JM. 1985. Fine roots, net primary production, and soil nitrogen availability: a new hypothesis. Ecology 66: 1377-1390.",Quercus,alba,C3
Acer saccharum,"Nadelhoffer KJ, Aber JD, and Melillo JM. 1985. Fine roots, net primary production, and soil nitrogen availability: a new hypothesis. Ecology 66: 1377-1390.",Acer,saccharum,C3
Pinus strobus,"Nadelhoffer KJ, Aber JD, and Melillo JM. 1985. Fine roots, net primary production, and soil nitrogen availability: a new hypothesis. Ecology 66: 1377-1390.",Pinus,strobus,C3
Liquidambar styraciflua,"Iversen CM, Ledford J, Norby RJ. 2008. CO2 enrichment increases carbon and nitrogen input from fine roots in a deciduous forest. New Phytologist 179: 837-847.",Liquidambar,styraciflua,C3
Populus deltoides,Coleman MD. 2007. Spatial and temporal patterns of root distribution in developing stands of four woody crop species grown with drip irrigation and fertilization. Plant Soil 299: 195-213.,Populus,deltoides,C3
Platanus occidentalis,Coleman MD. 2007. Spatial and temporal patterns of root distribution in developing stands of four woody crop species grown with drip irrigation and fertilization. Plant Soil 299: 195-213.,Platanus,occidentalis,C3
Liquidambar styraciflua,Coleman MD. 2007. Spatial and temporal patterns of root distribution in developing stands of four woody crop species grown with drip irrigation and fertilization. Plant Soil 299: 195-213.,Liquidambar,styraciflua,C3
Populus deltoides,"Aubrey, D., D. Coyle and M. Coleman. 2012. Functional groups show distinct differences in nitrogen cycling during early stand development: Implications for forest management. Plant and Soil. 351:219-236.",Populus,deltoides,C3
Platanus occidentalis,"Aubrey, D., D. Coyle and M. Coleman. 2012. Functional groups show distinct differences in nitrogen cycling during early stand development: Implications for forest management. Plant and Soil. 351:219-236.",Platanus,occidentalis,C3
Liquidambar styraciflua,"Aubrey, D., D. Coyle and M. Coleman. 2012. Functional groups show distinct differences in nitrogen cycling during early stand development: Implications for forest management. Plant and Soil. 351:219-236.",Liquidambar,styraciflua,C3
Liquidambar styraciflua,"Coyle DR, Coleman MD, Aubrey DP. 2007. Above- and below-ground biomass accumulation, production, and distribution of sweetgum and loblolly pine grown with irrigation and fertilization. Canadian Journal of Forest Research 38:1335-1348.",Liquidambar,styraciflua,C3
Cunninghamia lanceolata,"Liao Y, McCormack ML, Fan H, Wang H, Wu J, Tu J, Liu W, Guo D. 2014. Relation of fine root distribution to soil C in a Cunninghamia lanceolata plantation in subtropical China.  Plant Soil 381:225-234.",Cunninghamia,lanceolata,C3
Populus deltoides,"Coyle DR, Coleman MD. 2005. Forest production responses to irrigation and fertilization are not explained by shifts in allocation. Forest Ecology and Management 208: 137-152.",Populus,deltoides,C3
Platanus occidentalis,"Coyle DR, Coleman MD. 2005. Forest production responses to irrigation and fertilization are not explained by shifts in allocation. Forest Ecology and Management 208: 137-152.",Platanus,occidentalis,C3
Populus deltoides,"Coleman MD, Friend AL, Kern CC. 2004. Carbon Allocation and nitrogen acquisition in a developing Populus deltoides plantation. Tree physiology 24:1347-1357.",Populus,deltoides,C3
Populus deltoides,"Kern CC, Friend AL, Johnson JM-F, Coleman MD. 2004. Fine-root dynamics in a developing Populus deltoids plantation. Tree physiology 24:651-660.",Populus,deltoides,C3
Populus tremuloides,"Coleman MD, Dickson RE, Isebrands JG. 1998. Growth and physiology of aspen supplied with different fertilizer addition rates. Physiologia Plantarum 103: 513-526.",Populus,tremuloides,C3
Populus tremuloides,"Coleman MD, Dickson RE, Isebrands JG, Karnosky DF. 1996. Root growth and physiology of potted and field-grown trembling aspen exposed to tropospheric ozone. Tree Physiology 16: 145-152.",Populus,tremuloides,C3
Populus tremuloides,"Chapin FS, BretHarte MS, Hobbie SE, Zhong HL. 1996. Plant functional types as predictors of transient responses of arctic vegetation to global change. Journal of Vegetation Science 7: 347â358.",Populus,tremuloides,C3
Acer saccharum,"McCormack ML, Gaines KP, Pastore M, Eissenstat DM. 2015. Early season root production in relation to leaf production among six diverse temperate tree species. Plant Soil DOI 10.1007/s11104-014-2347-7.",Acer,saccharum,C3
Carya glabra,"McCormack ML, Gaines KP, Pastore M, Eissenstat DM. 2015. Early season root production in relation to leaf production among six diverse temperate tree species. Plant Soil DOI 10.1007/s11104-014-2347-7.",Carya,glabra,C3
Liriodendron tulipifera,"McCormack ML, Gaines KP, Pastore M, Eissenstat DM. 2015. Early season root production in relation to leaf production among six diverse temperate tree species. Plant Soil DOI 10.1007/s11104-014-2347-7.",Liriodendron,tulipifera,C3
Pinus strobus,"McCormack ML, Gaines KP, Pastore M, Eissenstat DM. 2015. Early season root production in relation to leaf production among six diverse temperate tree species. Plant Soil DOI 10.1007/s11104-014-2347-7.",Pinus,strobus,C3
Pinus virginiana,"McCormack ML, Gaines KP, Pastore M, Eissenstat DM. 2015. Early season root production in relation to leaf production among six diverse temperate tree species. Plant Soil DOI 10.1007/s11104-014-2347-7.",Pinus,virginiana,C3
Quercus alba,"McCormack ML, Gaines KP, Pastore M, Eissenstat DM. 2015. Early season root production in relation to leaf production among six diverse temperate tree species. Plant Soil DOI 10.1007/s11104-014-2347-7.",Quercus,alba,C3
Acer rubrum,"Gloser V, Libera K, Orians CM. 2008. Contrasting below- and aboveground responses of two deciduous trees to patchy nitrate availability. Tree Physiology 28: 37-44.",Acer,rubrum,C3
Dacrycarpus imbricatus,"Ushio M, Fujiki Y, Hidaka A, Kitayama K. 2015. Linkage of root physiology and morphology as an adaptation to soil phosphorus impoverishment in tropical montane forests. Functional Ecology 29: 1235-1245.",Dacrycarpus,imbricatus,C3
Fraxinus excelsior,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Fraxinus,excelsior,C3
Acer pseudoplatanus,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Acer,pseudoplatanus,C3
Acer platanoides,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Acer,platanoides,C3
Carpinus betulus,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Carpinus,betulus,C3
Tilia cordata,"Kubisch P, Hertel D, Leuschner C. 2015. Do ectomycorrhizal and arbuscular mycorrhizal temperate tree species systematically differ in root order-related fine root morphology and biomass? Frontiers in Plant Science 6(64): 1-12.",Tilia,cordata,C3
Acer saccharum," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Acer,saccharum,C3
Aesculus hippocastanum," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Aesculus,hippocastanum,C3
